movie_id,title,cast,crew,id,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
,Song of a Falcon,,,825764.0,0.0,0.0,Released,1967-01-01,0.0,9.0,False,,0.0,,tt4303526,ru,Песня о соколе,A paint-on-glass animated film (one of the first of its kind) about a dying falcon and a stupid snake.,0.851,/peBcPGqVWUhZowogWhSyKhIsV2l.jpg,,Animation,Soyuzmultfilm,Soviet Union,Russian,paint-on-glass
,Двойные стандарты сознания,,,825945.0,0.0,0.0,Released,,0.0,0.0,False,/wnKxPN0W9lV7FH8qcPtNXciGiRr.jpg,0.0,,,ru,Двойные стандарты сознания,,0.6,/s5HlcYTd3bTa1x7UQLiIIAb0qJZ.jpg,,,,,Russian,аллатра
,Molejo - Voltei ao Vivo,,,825934.0,0.0,0.0,Released,2010-01-01,0.0,0.0,False,/uXUzHakmEgzLSWeD91iyoJ8jhjs.jpg,0.0,,,pt,Molejo - Voltei ao Vivo,,0.6,/7tuiLrX63zvUlRagKkoXyQUogdP.jpg,,Music,,,,
,Der Kroatien-Krimi: Der Mädchenmörder von Krac,,,825935.0,0.0,0.0,Released,2019-03-14,0.0,0.0,False,/ySmUiQqw542aeEm40mjjYqHNTvp.jpg,0.0,,tt8352696,de,Der Kroatien-Krimi: Der Mädchenmörder von Krac,,0.6,/btQNfLNNXuFNqGblxdWW1Fz5auH.jpg,,Crime,,,German,
,Buttman's Stretch Class 8,,,825936.0,0.0,0.0,Released,2011-09-21,0.0,0.0,True,,0.0,,,en,Buttman's Stretch Class 8,"When young ladies take private lessons at John ""Buttman"" Stagliano's California studio, they extend their flexible bodies, spread their orifices and learn to attract the interest of an ass fetishist.",0.6,,,,,,,
,Heil Hitler und Alaaf! Karneval in der NS-Zeit,,,269219.0,0.0,0.0,Released,2011-01-10,0.0,45.0,False,,0.0,,tt1354011,de,Heil Hitler und Alaaf! Karneval in der NS-Zeit,"The film is the documentary reappraisal of the carnival taboo topic par excellence, ""Carnival under the swastika"". First of all: He existed! See numerous historical recordings of Rose Monday parades and meetings of the 1930s.",0.6,/wbaVnqsHQPmqlY27ADAn9RMbYSW.jpg,Carnival under the swastika,Documentary,WDR,Germany,German,
,cartridge,,,825938.0,0.0,0.0,Released,2021-05-04,0.0,1.0,False,/maknuF5Fzk6FeEXV7EYfixHnAts.jpg,0.0,,,en,cartridge,The story of a cartridge making his way to his room,0.6,/svDSaLYHpPpSDiFkhTb45PDcdVu.jpg,,,,,,
,Ženitba,,,825939.0,0.0,0.0,Released,1953-08-22,0.0,0.0,False,,0.0,,,cs,Ženitba,,0.6,,,Comedy,,Czechoslovakia,Czech,based on play or musical
,Taken,,,825940.0,0.0,0.0,Released,2016-01-01,0.0,15.0,False,,0.0,,tt5561362,en,Taken,A young woman who has been subjected to sexual violence comes face to face with her tormentor.,0.6,,,,,,,
,Dragon Gate King of Gate 2014 Day 1,,,269210.0,0.0,0.0,Released,2014-05-09,0.0,180.0,False,,0.0,,,en,Dragon Gate King of Gate 2014 Day 1,"Day 1 of Dragon Gate's 2014 King of Gate tournament is scheduled to take place on May 9, 2014, in Utsunomiya, Tochigi, at the Korakuen Hall, and will air on internet Pay-Per-View. The event will feature eight matches (including one dark match), four of which will be tournament matches.",0.6,,,,,,,
